nohup: ignoring input
⛏️  Mining Irium Genesis Block...

Genesis Configuration:
  Timestamp: 1735689600
  Bits: 0x1d00ffff
  Target: 26959535291011309493156476344723991336010898738574164086137773096960
  Merkle root: a0bd470d94bf7ef20539a0a6e2bd30629795f0bad5160d0495e07e85e4a5db04
  Total vesting: 3500000.0 IRM

⛏️  Mining for valid nonce...
  Nonce: 29,800,000 | Hashrate: 205899.17 H/s
  Nonce: 29,900,000 | Hashrate: 205901.78 H/s
  Nonce: 30,000,000 | Hashrate: 205855.27 H/s
  Nonce: 30,100,000 | Hashrate: 205857.46 H/s
  Nonce: 30,200,000 | Hashrate: 205867.91 H/s
  Nonce: 30,300,000 | Hashrate: 205845.65 H/s
  Nonce: 30,400,000 | Hashrate: 205851.83 H/s
  Nonce: 30,500,000 | Hashrate: 205847.87 H/s
  Nonce: 30,600,000 | Hashrate: 205871.67 H/s
  Nonce: 30,700,000 | Hashrate: 205887.15 H/s
  Nonce: 30,800,000 | Hashrate: 205909.69 H/s
  Nonce: 30,900,000 | Hashrate: 205933.91 H/s
  Nonce: 31,000,000 | Hashrate: 205939.87 H/s
  Nonce: 31,100,000 | Hashrate: 205955.81 H/s
  Nonce: 31,200,000 | Hashrate: 205957.13 H/s
  Nonce: 31,300,000 | Hashrate: 205966.96 H/s
  Nonce: 31,400,000 | Hashrate: 205857.71 H/s
  Nonce: 31,500,000 | Hashrate: 205786.04 H/s
  Nonce: 31,600,000 | Hashrate: 205743.33 H/s
  Nonce: 31,700,000 | Hashrate: 205695.10 H/s
  Nonce: 31,800,000 | Hashrate: 205695.08 H/s
  Nonce: 31,900,000 | Hashrate: 205674.26 H/s
  Nonce: 32,000,000 | Hashrate: 205637.73 H/s
  Nonce: 32,100,000 | Hashrate: 205639.59 H/s
  Nonce: 32,200,000 | Hashrate: 205626.71 H/s
  Nonce: 32,300,000 | Hashrate: 205557.53 H/s
  Nonce: 32,400,000 | Hashrate: 205555.03 H/s
  Nonce: 32,500,000 | Hashrate: 205498.80 H/s
  Nonce: 32,600,000 | Hashrate: 205552.08 H/s
  Nonce: 32,700,000 | Hashrate: 205567.07 H/s
  Nonce: 32,800,000 | Hashrate: 205540.35 H/s
  Nonce: 32,900,000 | Hashrate: 205435.63 H/s
  Nonce: 33,000,000 | Hashrate: 205339.91 H/s
  Nonce: 33,100,000 | Hashrate: 205243.07 H/s
  Nonce: 33,200,000 | Hashrate: 205293.31 H/s
  Nonce: 33,300,000 | Hashrate: 205326.11 H/s
  Nonce: 33,400,000 | Hashrate: 205369.86 H/s
  Nonce: 33,500,000 | Hashrate: 205389.04 H/s
  Nonce: 33,600,000 | Hashrate: 205407.29 H/s
  Nonce: 33,700,000 | Hashrate: 205444.96 H/s
  Nonce: 33,800,000 | Hashrate: 205495.73 H/s
  Nonce: 33,900,000 | Hashrate: 205533.26 H/s
  Nonce: 34,000,000 | Hashrate: 205516.71 H/s
  Nonce: 34,100,000 | Hashrate: 205572.57 H/s
  Nonce: 34,200,000 | Hashrate: 205604.88 H/s
  Nonce: 34,300,000 | Hashrate: 205599.72 H/s
  Nonce: 34,400,000 | Hashrate: 205618.34 H/s
  Nonce: 34,500,000 | Hashrate: 205633.18 H/s
